record_type,port_path,status,classification,priority,sha1,sha256,reference_count,original_paths,notes,width,height,mode,bit_depth_estimate,has_alpha,alpha_min,alpha_max,transparent_pixels,partial_alpha_pixels,parse,frametime,interpolate,explicit_frames,frame_spec
PORT,aspects/sensus.png,MATCH,EXACT_TC4_COPY,P2,80fc1eb9e7453b9a8de47baf564cb0b792baef65,468b8745598dda27dd60591cdd413c21c497b118d07235125ce7e4d05daf203b,3,textures/aspects/sensus.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,148,818,,,,,
PORT,aspects/spiritus.png,MATCH,EXACT_TC4_COPY,P2,66d3f602c31f6b4930e117ab6273c0904bb73ba7,a3f833849381dc3664c16148ad22ef722b751357767b9b30ff2da64437024f48,3,textures/aspects/spiritus.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,133,106,918,,,,,
PORT,aspects/telum.png,MATCH,EXACT_TC4_COPY,P2,980551b114f4f07e64d1505f538ad26b8d6dd50e,06cbb8fc42b586f33ee1e351e4d6a859e31541656e4e1ed17da01cf2ae2acb2b,3,textures/aspects/telum.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,408,520,,,,,
PORT,aspects/tempestas.png,MATCH,EXACT_TC4_COPY,P2,4a7040edea313d7760f2a894a5e2b17cf672315d,c5f2ad22c8ab994b94dfe308a938adc36aad430d2648f22cd20898230c5138b0,3,textures/aspects/tempestas.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,366,523,,,,,
PORT,aspects/tenebrae.png,MATCH,EXACT_TC4_COPY,P2,e9d7d27928c8cabf0010bb584f0f37bb558e28ac,259965ec310550326983fc7a1f12d9d68ce42fb30ec4fd7c40a36bf80287b49a,3,textures/aspects/tenebrae.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,541,418,,,,,
PORT,aspects/terra.png,MATCH,EXACT_TC4_COPY,P2,08486368387736d36446619a79c92ee15ebe22ad,d02320de3ac736ec2c6c5d8e511b6052c5dc8dd0867b3309597d0e2b6d18e0f9,3,textures/aspects/terra.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,150,801,,,,,
PORT,aspects/tutamen.png,MATCH,EXACT_TC4_COPY,P2,792a035c517cfd95f649d12a8595de8d8beae587,fd641ea252249aaa9cddac87a12a6983d37a209734bed11390b9e6388ac9c2b5,3,textures/aspects/tutamen.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,339,533,,,,,
PORT,aspects/vacuos.png,MATCH,EXACT_TC4_COPY,P2,48691f69950f4c3eb7fd12248a0674c0b6c0bf97,9408f51b66886d2d81a68b1a5c6d24e21d0921c190d1fc518b9a95a9ab907ae6,3,textures/aspects/vacuos.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,92,930,,,,,
PORT,aspects/venenum.png,MATCH,EXACT_TC4_COPY,P2,4e7dfc1657fe1b45210403e23592339ca54906ba,ae39c7bfa11c9a2666940d73a298e7b83124a785bed1dd8ed60c31bc3ccbc86e,3,textures/aspects/venenum.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,310,666,,,,,
PORT,aspects/victus.png,MATCH,EXACT_TC4_COPY,P2,405b99f9d6f23744c71626efc205f2d40a3356a0,265fcf71d1769900601462c0ac8aeb13f85c8d6ac068bf54ea9a4498166ea5bc,3,textures/aspects/victus.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,77,871,,,,,
